RID,SiteID,Timestamp,Reading,Unit
3,Utoy RailroadLevel,2/17/2018 0:15,0.130702,ft
4,Utoy RailroadLevel,2/17/2018 0:30,0.128333,ft
5,Utoy RailroadLevel,2/17/2018 0:45,0.14302,ft
6,Utoy RailroadLevel,2/17/2018 1:00,0.132043,ft
15,Utoy RailroadLevel,2/17/2018 1:15,0.133135,ft
16,Utoy RailroadLevel,2/17/2018 1:30,0.129853,ft
17,Utoy RailroadLevel,2/17/2018 1:45,0.141082,ft
18,Utoy RailroadLevel,2/17/2018 2:00,0.133677,ft
19,Utoy RailroadLevel,2/17/2018 2:15,0.125266,ft
20,Utoy RailroadLevel,2/17/2018 2:30,0.1259,ft
21,Utoy RailroadLevel,2/17/2018 2:45,0.136291,ft
22,Utoy RailroadLevel,2/17/2018 3:00,0.129716,ft
31,Utoy RailroadLevel,2/17/2018 3:15,0.126754,ft
32,Utoy RailroadLevel,2/17/2018 3:30,0.129886,ft
33,Utoy RailroadLevel,2/17/2018 3:45,0.133465,ft
34,Utoy RailroadLevel,2/17/2018 4:00,0.13463,ft
35,Utoy RailroadLevel,2/17/2018 4:15,0.134613,ft
36,Utoy RailroadLevel,2/17/2018 4:30,0.131821,ft
37,Utoy RailroadLevel,2/17/2018 4:45,0.130712,ft
38,Utoy RailroadLevel,2/17/2018 5:00,0.125831,ft
49,Utoy RailroadLevel,2/17/2018 5:15,0.127726,ft
50,Utoy RailroadLevel,2/17/2018 5:30,0.124488,ft
51,Utoy RailroadLevel,2/17/2018 5:45,0.124742,ft
52,Utoy RailroadLevel,2/17/2018 6:00,0.129206,ft
53,Utoy RailroadLevel,2/17/2018 6:15,0.129855,ft
54,Utoy RailroadLevel,2/17/2018 6:30,0.128548,ft
55,Utoy RailroadLevel,2/17/2018 6:45,0.160454,ft
56,Utoy RailroadLevel,2/17/2018 7:00,0.138072,ft
57,Utoy RailroadLevel,2/17/2018 7:15,0.147043,ft
58,Utoy RailroadLevel,2/17/2018 7:30,0.139473,ft
65,Utoy RailroadLevel,2/17/2018 7:45,0.131443,ft
66,Utoy RailroadLevel,2/17/2018 8:00,0.140353,ft
67,Utoy RailroadLevel,2/17/2018 8:15,0.148697,ft
68,Utoy RailroadLevel,2/17/2018 8:30,0.149657,ft
69,Utoy RailroadLevel,2/17/2018 8:45,0.15881,ft
70,Utoy RailroadLevel,2/17/2018 9:00,0.147013,ft
79,Utoy RailroadLevel,2/17/2018 9:15,0.14978,ft
80,Utoy RailroadLevel,2/17/2018 9:30,0.152119,ft
81,Utoy RailroadLevel,2/17/2018 9:45,0.137643,ft
82,Utoy RailroadLevel,2/17/2018 10:00,0.143657,ft
83,Utoy RailroadLevel,2/17/2018 10:15,0.158621,ft
84,Utoy RailroadLevel,2/17/2018 10:30,0.143238,ft
85,Utoy RailroadLevel,2/17/2018 10:45,0.149004,ft
86,Utoy RailroadLevel,2/17/2018 11:00,0.143728,ft
95,Utoy RailroadLevel,2/17/2018 11:15,0.138962,ft
96,Utoy RailroadLevel,2/17/2018 11:30,0.127817,ft
97,Utoy RailroadLevel,2/17/2018 11:45,0.153904,ft
98,Utoy RailroadLevel,2/17/2018 12:00,0.150254,ft
99,Utoy RailroadLevel,2/17/2018 12:15,0.142072,ft
100,Utoy RailroadLevel,2/17/2018 12:30,0.133118,ft
101,Utoy RailroadLevel,2/17/2018 12:45,0.136542,ft
102,Utoy RailroadLevel,2/17/2018 13:00,0.133266,ft
111,Utoy RailroadLevel,2/17/2018 13:15,0.140706,ft
112,Utoy RailroadLevel,2/17/2018 13:30,0.148389,ft
113,Utoy RailroadLevel,2/17/2018 13:45,0.132279,ft
114,Utoy RailroadLevel,2/17/2018 14:00,0.11938,ft
115,Utoy RailroadLevel,2/17/2018 14:15,0.118026,ft
116,Utoy RailroadLevel,2/17/2018 14:30,0.117273,ft
117,Utoy RailroadLevel,2/17/2018 14:45,0.119591,ft
118,Utoy RailroadLevel,2/17/2018 15:00,0.123699,ft
127,Utoy RailroadLevel,2/17/2018 15:15,0.123021,ft
128,Utoy RailroadLevel,2/17/2018 15:30,0.117796,ft
129,Utoy RailroadLevel,2/17/2018 15:45,0.120573,ft
130,Utoy RailroadLevel,2/17/2018 16:00,0.121214,ft
131,Utoy RailroadLevel,2/17/2018 16:15,0.120745,ft
132,Utoy RailroadLevel,2/17/2018 16:30,0.119545,ft
133,Utoy RailroadLevel,2/17/2018 16:45,0.122988,ft
134,Utoy RailroadLevel,2/17/2018 17:00,0.136115,ft
143,Utoy RailroadLevel,2/17/2018 17:15,0.135173,ft
144,Utoy RailroadLevel,2/17/2018 17:30,0.127221,ft
145,Utoy RailroadLevel,2/17/2018 17:45,0.121101,ft
146,Utoy RailroadLevel,2/17/2018 18:00,0.130245,ft
147,Utoy RailroadLevel,2/17/2018 18:15,0.12716,ft
148,Utoy RailroadLevel,2/17/2018 18:30,0.128598,ft
149,Utoy RailroadLevel,2/17/2018 18:45,0.124542,ft
150,Utoy RailroadLevel,2/17/2018 19:00,0.121362,ft
159,Utoy RailroadLevel,2/17/2018 19:15,0.124158,ft
160,Utoy RailroadLevel,2/17/2018 19:30,0.127555,ft
161,Utoy RailroadLevel,2/17/2018 19:45,0.124747,ft
162,Utoy RailroadLevel,2/17/2018 20:00,0.123015,ft
163,Utoy RailroadLevel,2/17/2018 20:15,0.136087,ft
164,Utoy RailroadLevel,2/17/2018 20:30,0.13122,ft
165,Utoy RailroadLevel,2/17/2018 20:45,0.129507,ft
166,Utoy RailroadLevel,2/17/2018 21:00,0.125308,ft
167,Utoy RailroadRainfall,2/17/2018 21:15,0.01,in
175,Utoy RailroadLevel,2/17/2018 21:15,0.126964,ft
176,Utoy RailroadLevel,2/17/2018 21:30,0.159701,ft
177,Utoy RailroadLevel,2/17/2018 21:45,0.135488,ft
178,Utoy RailroadLevel,2/17/2018 22:00,0.126639,ft
179,Utoy RailroadLevel,2/17/2018 22:15,0.125366,ft
180,Utoy RailroadLevel,2/17/2018 22:30,0.132987,ft
181,Utoy RailroadLevel,2/17/2018 22:45,0.131317,ft
182,Utoy RailroadLevel,2/17/2018 23:00,0.133185,ft
191,Utoy RailroadLevel,2/17/2018 23:15,0.135249,ft
192,Utoy RailroadLevel,2/17/2018 23:30,0.144211,ft
193,Utoy RailroadLevel,2/17/2018 23:45,0.126998,ft
194,Utoy RailroadLevel,2/18/2018 0:00,0.126916,ft
195,Utoy RailroadLevel,2/18/2018 0:15,0.129276,ft
196,Utoy RailroadLevel,2/18/2018 0:30,0.13062,ft
197,Utoy RailroadLevel,2/18/2018 0:45,0.12697,ft
198,Utoy RailroadLevel,2/18/2018 1:00,0.128419,ft
207,Utoy RailroadLevel,2/18/2018 1:15,0.124986,ft
208,Utoy RailroadLevel,2/18/2018 1:30,0.123971,ft
209,Utoy RailroadLevel,2/18/2018 1:45,0.133972,ft
210,Utoy RailroadLevel,2/18/2018 2:00,0.128531,ft
211,Utoy RailroadLevel,2/18/2018 2:15,0.123302,ft
212,Utoy RailroadLevel,2/18/2018 2:30,0.121382,ft
213,Utoy RailroadLevel,2/18/2018 2:45,0.133596,ft
214,Utoy RailroadLevel,2/18/2018 3:00,0.121197,ft
223,Utoy RailroadLevel,2/18/2018 3:15,0.11756,ft
224,Utoy RailroadLevel,2/18/2018 3:30,0.119908,ft
225,Utoy RailroadLevel,2/18/2018 3:45,0.116018,ft
226,Utoy RailroadLevel,2/18/2018 4:00,0.11647,ft
227,Utoy RailroadLevel,2/18/2018 4:15,0.115649,ft
228,Utoy RailroadLevel,2/18/2018 4:30,0.118101,ft
229,Utoy RailroadLevel,2/18/2018 4:45,0.120371,ft
230,Utoy RailroadLevel,2/18/2018 5:00,0.125043,ft
239,Utoy RailroadLevel,2/18/2018 5:15,0.11821,ft
240,Utoy RailroadLevel,2/18/2018 5:30,0.117209,ft
241,Utoy RailroadLevel,2/18/2018 5:45,0.11822,ft
242,Utoy RailroadLevel,2/18/2018 6:00,0.11755,ft
243,Utoy RailroadLevel,2/18/2018 6:15,0.116844,ft
244,Utoy RailroadLevel,2/18/2018 6:30,0.132689,ft
245,Utoy RailroadLevel,2/18/2018 6:45,0.123749,ft
246,Utoy RailroadLevel,2/18/2018 7:00,0.126033,ft
255,Utoy RailroadLevel,2/18/2018 7:15,0.129105,ft
256,Utoy RailroadLevel,2/18/2018 7:30,0.127856,ft
257,Utoy RailroadLevel,2/18/2018 7:45,0.127453,ft
258,Utoy RailroadLevel,2/18/2018 8:00,0.132341,ft
259,Utoy RailroadLevel,2/18/2018 8:15,0.145508,ft
260,Utoy RailroadLevel,2/18/2018 8:30,0.138314,ft
261,Utoy RailroadLevel,2/18/2018 8:45,0.15114,ft
262,Utoy RailroadLevel,2/18/2018 9:00,0.132269,ft
271,Utoy RailroadLevel,2/18/2018 9:15,0.138961,ft
272,Utoy RailroadLevel,2/18/2018 9:30,0.143688,ft
273,Utoy RailroadLevel,2/18/2018 9:45,0.139198,ft
274,Utoy RailroadLevel,2/18/2018 10:00,0.137777,ft
275,Utoy RailroadLevel,2/18/2018 10:15,0.1289,ft
276,Utoy RailroadLevel,2/18/2018 10:30,0.136303,ft
277,Utoy RailroadLevel,2/18/2018 10:45,0.13844,ft
278,Utoy RailroadLevel,2/18/2018 11:00,0.140722,ft
287,Utoy RailroadLevel,2/18/2018 11:15,0.135993,ft
288,Utoy RailroadLevel,2/18/2018 11:30,0.139031,ft
289,Utoy RailroadLevel,2/18/2018 11:45,0.129073,ft
290,Utoy RailroadLevel,2/18/2018 12:00,0.135959,ft
291,Utoy RailroadLevel,2/18/2018 12:15,0.141821,ft
292,Utoy RailroadLevel,2/18/2018 12:30,0.136642,ft
293,Utoy RailroadLevel,2/18/2018 12:45,0.15468,ft
294,Utoy RailroadLevel,2/18/2018 13:00,0.140325,ft
303,Utoy RailroadLevel,2/18/2018 13:15,0.134371,ft
304,Utoy RailroadLevel,2/18/2018 13:30,0.135121,ft
305,Utoy RailroadLevel,2/18/2018 13:45,0.139788,ft
306,Utoy RailroadLevel,2/18/2018 14:00,0.132486,ft
307,Utoy RailroadLevel,2/18/2018 14:15,0.130401,ft
308,Utoy RailroadLevel,2/18/2018 14:30,0.128073,ft
309,Utoy RailroadLevel,2/18/2018 14:45,0.152467,ft
310,Utoy RailroadLevel,2/18/2018 15:00,0.130417,ft
319,Utoy RailroadLevel,2/18/2018 15:15,0.137304,ft
320,Utoy RailroadLevel,2/18/2018 15:30,0.130799,ft
321,Utoy RailroadLevel,2/18/2018 15:45,0.137875,ft
322,Utoy RailroadLevel,2/18/2018 16:00,0.123088,ft
323,Utoy RailroadLevel,2/18/2018 16:15,0.131522,ft
324,Utoy RailroadLevel,2/18/2018 16:30,0.125645,ft
325,Utoy RailroadLevel,2/18/2018 16:45,0.126961,ft
326,Utoy RailroadLevel,2/18/2018 17:00,0.130559,ft
327,Utoy RailroadRainfall,2/18/2018 17:15,0.01,in
328,Utoy RailroadRainfall,2/18/2018 17:30,0.01,in
333,Utoy RailroadRainfall,2/18/2018 18:45,0.02,in
335,Utoy RailroadLevel,2/18/2018 17:15,0.125951,ft
336,Utoy RailroadLevel,2/18/2018 17:30,0.125801,ft
337,Utoy RailroadLevel,2/18/2018 17:45,0.127799,ft
338,Utoy RailroadLevel,2/18/2018 18:00,0.13288,ft
339,Utoy RailroadLevel,2/18/2018 18:15,0.126816,ft
340,Utoy RailroadLevel,2/18/2018 18:30,0.1279,ft
341,Utoy RailroadLevel,2/18/2018 18:45,0.126589,ft
342,Utoy RailroadLevel,2/18/2018 19:00,0.128423,ft
351,Utoy RailroadLevel,2/18/2018 19:15,0.128517,ft
352,Utoy RailroadLevel,2/18/2018 19:30,0.146673,ft
353,Utoy RailroadLevel,2/18/2018 19:45,0.140355,ft
354,Utoy RailroadLevel,2/18/2018 20:00,0.139109,ft
355,Utoy RailroadLevel,2/18/2018 20:15,0.155722,ft
356,Utoy RailroadLevel,2/18/2018 20:30,0.148122,ft
357,Utoy RailroadLevel,2/18/2018 20:45,0.146942,ft
358,Utoy RailroadLevel,2/18/2018 21:00,0.136974,ft
367,Utoy RailroadLevel,2/18/2018 21:15,0.136428,ft
368,Utoy RailroadLevel,2/18/2018 21:30,0.145566,ft
369,Utoy RailroadLevel,2/18/2018 21:45,0.140208,ft
370,Utoy RailroadLevel,2/18/2018 22:00,0.134266,ft
371,Utoy RailroadLevel,2/18/2018 22:15,0.127374,ft
372,Utoy RailroadLevel,2/18/2018 22:30,0.130933,ft
373,Utoy RailroadLevel,2/18/2018 22:45,0.137163,ft
374,Utoy RailroadLevel,2/18/2018 23:00,0.126373,ft
